Name,Techland,Startech,Ultratech
Thermalright Phantom Spirit 120 SE ARGB,https://www.techlandbd.com/thermalright-phantom-spirit-120-se-cpu-cooler,https://www.startech.com.bd/thermalright-phantom-spirit-120-se-argb-cpu-cooler,https://www.ultratech.com.bd/thermalright-phantom-spirit-120-se-argb-cpu-air-cooler
Thermalright Phantom Spirit 120 SE,https://www.techlandbd.com/thermalright-phantom-spirit-120-se-cpu-cooler-black,,
